Name,Finder URL,Description,Primary Sector,Founded,Employees,Funding Stage
="Safe Superintelligence",="https://finder.startupnationcentral.org/company_page/safe-superintelligence",="Developing Safe AI Technologies",="Business Software",="2024",="1-10",="Seed",
="MitrAssist",="https://finder.startupnationcentral.org/company_page/mitrassist",="Minimally Invasive Treatment for Mitral Regurgitation",="Health Tech & Life Sciences",="2009",="1-10",="C",
="POCARED Diagnostics",="https://finder.startupnationcentral.org/company_page/pocared-diagnostics","Automated, Reagent-free Microorganism Detection",="Health Tech & Life Sciences",="2004",="1-10",="Seed",
="Novaremed",="https://finder.startupnationcentral.org/company_page/novaremed",="Medication for Chronic Neuropathic Pain",="Health Tech & Life Sciences",="2008",="1-10",="A",
="Vega Security",="https://finder.startupnationcentral.org/company_page/vega-security",="Digital Protection & Security Solutions",="Cyber Security",="2023",="1-10",="A",
="SoniVie",="https://finder.startupnationcentral.org/company_page/sonivie",="Pulmonary Hypertension Denervation Treatment",="Health Tech & Life Sciences",="2014",="1-10",="Acquired",
="Black Ore",="https://finder.startupnationcentral.org/company_page/black-ore",="Transformative AI for Financial Services",="Fintech & Insurtech",="2022",="1-10",="Seed",
="Formulex Pharma Innovations",="https://finder.startupnationcentral.org/company_page/solubest",="Nanotechnology-based Drug Delivery and Formulation",="Health Tech & Life Sciences",="2001",="1-10",="Seed",
="PainReform",="https://finder.startupnationcentral.org/company_page/painreform",="Pain Treatment Drugs",="Health Tech & Life Sciences",="2007",="1-10",="Public",
="Pharma Two B",="https://finder.startupnationcentral.org/company_page/pharma-two-b",="Innovative Combinations of Previously Approved Drugs",="Health Tech & Life Sciences",="2007",="1-10",="C",
="Mirror Biologics",="https://finder.startupnationcentral.org/company_page/mirror-biologics",="Immunomodulatory Vaccines and Immunotherapy Treatments",="Health Tech & Life Sciences",="2004",="1-10",="A",
="Lutris Pharma",="https://finder.startupnationcentral.org/company_page/lutris-pharma",="Anticancer Therapy for Patients Treated with EGFR Inhibitors",="Health Tech & Life Sciences",="2015",="1-10",="Seed",
="Kela AI Systems",="https://finder.startupnationcentral.org/company_page/kela-ai-systems",="Operating System for Military Systems","Aerospace, Defense & HLS",="2024",="1-10",="A",
="Rezilion",="https://finder.startupnationcentral.org/company_page/rezilion",="Software Supply Chain Security Platform",="Cyber Security",="2018",="1-10",="A",
="Vensica Medical",="https://finder.startupnationcentral.org/company_page/vensica-medical",="Needle-free Drug Delivery System for the Urinary Bladder",="Health Tech & Life Sciences",="2014",="1-10",="Seed",
="Regentis Biomaterials",="https://finder.startupnationcentral.org/company_page/regentis-biomaterials",="Implantable Hydrogel Platform for Tissue Regeneration",="Health Tech & Life Sciences",="2004",="1-10",="Mature",
="SciSparc",="https://finder.startupnationcentral.org/company_page/therapix-biosciences",="Cannabinoid Pharmaceuticals for Treatment of Central Nervous System Disorders",="Health Tech & Life Sciences",="2004",="1-10",="Public",
="XTL Biopharmaceuticals",="https://finder.startupnationcentral.org/company_page/xtl-biopharmaceuticals",="Treatments for Autoimmune Diseases",="Health Tech & Life Sciences",="1993",="1-10",="Public",
="Medi-Tate",="https://finder.startupnationcentral.org/company_page/medi-tate",="Treatment for Urethral and Prostate Diseases",="Health Tech & Life Sciences",="2007",="1-10",="Acquired",
="Optonol",="https://finder.startupnationcentral.org/company_page/optonol",="Miniature Surgical Implants for Glaucoma Patients",="Health Tech & Life Sciences",="1996",="1-10",="Acquired",
="Tectona",="https://finder.startupnationcentral.org/company_page/tectona","Online Platform for Creating, Trading, and Investing in Digital Assets",="Fintech & Insurtech",="1981",="1-10",="Public",
="VESSL Therapeutics",="https://finder.startupnationcentral.org/company_page/vssl",="Regenerative Medicine for Cardiovascular Diseases",="Health Tech & Life Sciences",="2000",="1-10",="Seed",
="CannaboTech",="https://finder.startupnationcentral.org/company_page/cannabotech",="Botanical-based Medical Solutions",="Health Tech & Life Sciences",="2019",="1-10",="Public",
="Donisi Health",="https://finder.startupnationcentral.org/company_page/Continuse",="Contact-free Device for Cardiac and Pulmonary Assessment",="Health Tech & Life Sciences",="2015",="1-10",="B",
="Raziel Therapeutics",="https://finder.startupnationcentral.org/company_page/raziel-therapeutics",="Injectable Drug for Treatment of Obesity",="Health Tech & Life Sciences",="2012",="1-10",="C",
="prooV",="https://finder.startupnationcentral.org/company_page/scalabilit",="Proof-of-concept Evaluation Platform",="Business Software",="2014",="1-10",="Mature",
="Audioburst",="https://finder.startupnationcentral.org/company_page/audioburst",="AI-based Voice Search Platform",="Fintech & Insurtech",="2015",="1-10",="A",
="Innovision Labs",="https://finder.startupnationcentral.org/company_page/glassesoff",="Enhancing Human Image Processing",="Health Tech & Life Sciences",="2007",="1-10",="Mature",
="Authomize",="https://finder.startupnationcentral.org/company_page/authomize",="Identity Threat Detection and Response Platformâ€‹",="Cyber Security",="2019",="1-10",="Acquired",
="Majestic Labs",="https://finder.startupnationcentral.org/company_page/majestic-labs",="AI Acceleration Chips for Data Centers",="Industrial Technologies",="2024",="1-10",="Seed",
="THERAPiN",="https://finder.startupnationcentral.org/company_page/hi-pharma",="Cannabis-based Drug Preparations",="Health Tech & Life Sciences",="2017",="1-10",="Pre-Funding",
="Cell Source",="https://finder.startupnationcentral.org/company_page/cell-source",="Cell Therapy Treatments Based on Immune Tolerance",="Health Tech & Life Sciences",="2011",="1-10",="Public",
="MigVax",="https://finder.startupnationcentral.org/company_page/migvax",="Vaccine for Viruses in Humans",="Health Tech & Life Sciences",="2020",="1-10",="A",
="GWave",="https://finder.startupnationcentral.org/company_page/gwave",="Noninvasive Glucose Monitoring",="Health Tech & Life Sciences",="2017",="1-10",="C",
="Discure Technologies",="https://finder.startupnationcentral.org/company_page/discure-technologies",="Reversing Degenerative Disc Disease",="Health Tech & Life Sciences",="2021",="1-10",="A",
="Virility Medical",="https://finder.startupnationcentral.org/company_page/virility-medical",="Skin Patch for the Treatment of Premature Ejaculation",="Health Tech & Life Sciences",="2016",="1-10",="A",
="Image Navigation",="https://finder.startupnationcentral.org/company_page/image-navigation",="Hybrid Surgical Navigation and Robotic Dental Implant System",="Health Tech & Life Sciences",="2007",="1-10",="Seed",
="Filterlex Medical",="https://finder.startupnationcentral.org/company_page/filterlex-medical",="Embolic Protection Device",="Health Tech & Life Sciences",="2015",="1-10",="A",
="MedicannX",="https://finder.startupnationcentral.org/company_page/medicannx",="Aeroponic Cultivation Method for Cannabis ",="Health Tech & Life Sciences",="2020",="1-10",="Seed",
="Vessi Medical",="https://finder.startupnationcentral.org/company_page/vessi-medical",="Cryotherapy for treatment of urological tissue",="Health Tech & Life Sciences",="2015",="1-10",="A",
="Save Foods",="https://finder.startupnationcentral.org/company_page/save-foods",="Eco-friendly Solutions to Ensure Food Safety and Shelf Life",="Agriculture & Food Technologies",="2004",="1-10",="Public",
="EnzymoCore",="https://finder.startupnationcentral.org/company_page/transbiodiesel",=" Enzymatic Solutions for the Bio-energy and the Functional Food Industries",="Energy Tech",="2007",="1-10",="Mature",
="DocAuthority",="https://finder.startupnationcentral.org/company_page/cloudauthority",="Sensitive Data Identification and Protection",="Cyber Security",="2013",="1-10",="A",
="Hinoman",="https://finder.startupnationcentral.org/company_page/hinoman",="Mankai Cultivation",="Agriculture & Food Technologies",="2012",="1-10",="Mature",
="Clearmind Medicine",="https://finder.startupnationcentral.org/company_page/clearmind-medicine",="Treatments for Binge Behavior and Mental Health",="Health Tech & Life Sciences",="2021",="1-10",="Public",
="Sol Chip",="https://finder.startupnationcentral.org/company_page/sol-chip",="Solar-Powered IoT Chip Solutions",="Energy Tech",="2009",="1-10",="A",
="Senecio Robotics",="https://finder.startupnationcentral.org/company_page/senecio",="Solutions for Fighting Disease-spreading Mosquitoes",="Agriculture & Food Technologies",="2013",="1-10",="Seed",
="Oporto Carbon",="https://finder.startupnationcentral.org/company_page/oporto-carbon",="Certifying CO2 Offsets to Reduce Global Emissions",="Fintech & Insurtech",="2022",="1-10",="Seed",
="SPHEREO",="https://finder.startupnationcentral.org/company_page/intuitive-audio-labs1",="Sound Customization Technology for Mobile Devices",="Media & Entertainment Technologies",="2017",="1-10",="Seed",
="Protekt Therapeutics",="https://finder.startupnationcentral.org/company_page/protekt-therapeutics",="PKR Inhibition for Treating Neurodegenerative Diseases",="Health Tech & Life Sciences",="2014",="1-10",="Seed",
